merged_person_id,first_abs,last_abs,first_ts,frames,age_mode,gender_mode
171,2025-08-16 12:12:21.670,2025-08-16 12:12:21.670,00:31:21.671,1,30,Female
172,2025-08-16 12:12:23.870,2025-08-16 12:12:36.336,00:31:23.871,16,0,Female
173,2025-08-16 12:12:37.070,2025-08-16 12:12:40.003,00:31:37.070,5,23,Male
174,2025-08-16 12:12:38.536,2025-08-16 12:12:38.536,00:31:38.537,1,28,Male
175,2025-08-16 12:12:39.269,2025-08-16 12:12:45.136,00:31:39.270,2,31,Male
176,2025-08-16 12:12:46.603,2025-08-16 12:13:00.535,00:31:46.603,15,0,
177,2025-08-16 12:12:54.669,2025-08-16 12:12:54.669,00:31:54.669,1,33,Female
178,2025-08-16 12:13:02.002,2025-08-16 12:13:02.735,00:32:02.003,2,25,Male
179,2025-08-16 12:13:07.869,2025-08-16 12:13:07.869,00:32:07.869,1,31,Male
180,2025-08-16 12:13:08.602,2025-08-16 12:13:09.335,00:32:08.602,2,30,Female
181,2025-08-16 12:13:10.068,2025-08-16 12:13:10.068,00:32:10.069,1,39,Male
182,2025-08-16 12:13:13.735,2025-08-16 12:13:13.735,00:32:13.736,1,26,Male
183,2025-08-16 12:13:15.935,2025-08-16 12:13:48.201,00:32:15.935,34,0,
184,2025-08-16 12:13:18.135,2025-08-16 12:13:18.135,00:32:18.135,1,43,Female
185,2025-08-16 12:13:18.868,2025-08-16 12:13:18.868,00:32:18.869,1,31,Female
186,2025-08-16 12:13:41.601,2025-08-16 12:13:41.601,00:32:41.601,1,23,Female
187,2025-08-16 12:13:46.734,2025-08-16 12:13:46.734,00:32:46.734,1,33,Female
188,2025-08-16 12:13:49.667,2025-08-16 13:15:29.744,00:32:49.668,86,0,
189,2025-08-16 12:15:05.198,2025-08-16 12:15:05.198,00:34:05.198,1,29,Male
190,2025-08-16 12:15:30.130,2025-08-16 12:15:32.330,00:34:30.131,2,24,Male
191,2025-08-16 12:15:49.196,2025-08-16 12:15:49.196,00:34:49.197,1,27,Female
192,2025-08-16 12:16:14.862,2025-08-16 12:16:14.862,00:35:14.863,1,26,Female
193,2025-08-16 12:16:31.728,2025-08-16 12:16:32.462,00:35:31.729,2,30,Female
194,2025-08-16 12:16:39.795,2025-08-16 12:16:39.795,00:35:39.795,1,37,Male
195,2025-08-16 12:16:48.595,2025-08-16 12:16:48.595,00:35:48.595,1,35,Female
196,2025-08-16 12:17:12.060,2025-08-16 12:17:16.460,00:36:12.061,2,31,Male
197,2025-08-16 12:17:36.993,2025-08-16 12:17:36.993,00:36:36.993,1,29,Male
198,2025-08-16 12:18:11.458,2025-08-16 12:18:11.458,00:37:11.459,1,24,Male
199,2025-08-16 12:18:15.125,2025-08-16 12:18:15.125,00:37:15.125,1,32,Female
200,2025-08-16 12:18:21.725,2025-08-16 12:19:43.855,00:37:21.725,41,0,Female
201,2025-08-16 12:18:28.325,2025-08-16 12:18:29.791,00:37:28.325,2,26,Female
202,2025-08-16 12:19:07.190,2025-08-16 12:20:04.388,00:38:07.190,65,29,Male
203,2025-08-16 12:19:15.256,2025-08-16 12:19:15.256,00:38:15.257,1,23,Female
204,2025-08-16 12:19:37.256,2025-08-16 12:19:37.256,00:38:37.256,1,25,Male
205,2025-08-16 12:21:41.185,2025-08-16 12:21:41.185,00:40:41.185,1,33,Male
206,2025-08-16 12:22:00.984,2025-08-16 12:22:01.717,00:41:00.985,2,27,Male
207,2025-08-16 12:22:02.451,2025-08-16 12:22:02.451,00:41:02.451,1,28,Male
208,2025-08-16 12:22:04.651,2025-08-16 12:22:04.651,00:41:04.651,1,24,Male
209,2025-08-16 12:22:28.850,2025-08-16 12:22:29.583,00:41:28.850,2,22,Female
210,2025-08-16 12:22:44.983,2025-08-16 12:22:46.449,00:41:44.983,2,30,Male
211,2025-08-16 12:23:04.782,2025-08-16 17:37:26.353,00:42:04.782,24,26,Male
212,2025-08-16 12:23:39.981,2025-08-16 12:23:41.447,00:42:39.981,3,33,Male
213,2025-08-16 12:24:32.979,2025-08-16 12:24:32.979,00:43:32.980,1,32,Female
214,2025-08-16 12:24:38.579,2025-08-16 12:24:38.579,00:43:38.579,1,25,Male
215,2025-08-16 12:24:40.979,2025-08-16 12:24:40.979,00:43:40.979,1,35,Female
216,2025-08-16 12:24:42.579,2025-08-16 12:25:48.177,00:43:42.579,49,0,Male
217,2025-08-16 12:24:53.778,2025-08-16 12:24:53.778,00:43:53.779,1,29,Female
218,2025-08-16 12:24:55.378,2025-08-16 12:25:53.776,00:43:55.379,22,0,
219,2025-08-16 12:25:00.178,2025-08-16 12:25:00.178,00:44:00.179,1,31,Female
220,2025-08-16 12:25:01.778,2025-08-16 12:25:01.778,00:44:01.779,1,35,Female
221,2025-08-16 12:25:38.577,2025-08-16 12:25:38.577,00:44:38.577,1,33,Male
222,2025-08-16 12:25:40.177,2025-08-16 12:25:40.177,00:44:40.177,1,26,Male
223,2025-08-16 12:25:42.577,2025-08-16 12:25:43.377,00:44:42.577,2,27,Female
224,2025-08-16 12:25:44.177,2025-08-16 12:25:44.177,00:44:44.177,1,25,Male
225,2025-08-16 12:25:44.977,2025-08-16 12:26:20.975,00:44:44.977,25,36,Male
226,2025-08-16 12:25:45.777,2025-08-16 12:25:45.777,00:44:45.777,1,26,Female
227,2025-08-16 12:25:51.376,2025-08-16 12:25:51.376,00:44:51.377,1,24,Male
228,2025-08-16 12:26:16.176,2025-08-16 15:34:11.600,00:45:16.176,2,26,Female
229,2025-08-16 12:26:18.576,2025-08-16 12:26:19.375,00:45:18.576,2,26,Female
230,2025-08-16 12:26:51.374,2025-08-16 12:26:51.374,00:45:51.375,1,30,Male
231,2025-08-16 12:26:51.374,2025-08-16 13:57:09.927,00:45:51.375,3,29,Male
232,2025-08-16 12:27:24.173,2025-08-16 12:27:24.173,00:46:24.174,1,38,Female
233,2025-08-16 12:27:25.773,2025-08-16 12:27:25.773,00:46:25.774,1,35,Male
234,2025-08-16 12:27:28.973,2025-08-16 12:27:28.973,00:46:28.974,1,36,Male
235,2025-08-16 12:28:16.972,2025-08-16 12:28:16.972,00:47:16.972,1,32,Female
236,2025-08-16 12:28:27.371,2025-08-16 12:28:27.371,00:47:27.372,1,28,Male
237,2025-08-16 12:28:30.571,2025-08-16 12:28:30.571,00:47:30.572,1,32,Female
238,2025-08-16 12:28:33.771,2025-08-16 12:28:33.771,00:47:33.771,1,52,Male
239,2025-08-16 12:28:38.571,2025-08-16 12:28:39.371,00:47:38.571,2,27,Female
240,2025-08-16 12:28:40.971,2025-08-16 12:28:40.971,00:47:40.971,1,30,Female
241,2025-08-16 12:28:47.371,2025-08-16 12:28:47.371,00:47:47.371,1,37,Male
242,2025-08-16 12:28:49.770,2025-08-16 12:30:14.568,00:47:49.771,49,26,Male
243,2025-08-16 12:28:51.370,2025-08-16 12:28:51.370,00:47:51.371,1,28,Male
